,Date,Apple_Closing_Price,Apple_Volume,MSFT_Closing_Price,MSFT_Volume,AMZN_Closing_Price,AMZN_Volume,GOOGL_Closing_Price,GOOGL_Volume,FB_Closing_Price,FB_Volume,ALI_Closing_Price,ALI_Volume,Cisco_Closing_Price,Cisco_Volume,Oracle_Closing_Price,Oracle_Volume,NFLX_Closing_Price,NFLX_Volume,Intel_Closing_Price,Intel_Volume
40,2020-03-02,298.81,85349339,172.79,71030810,1953.95,6761651,1386.32,2771463,196.44,24948955,210.98,21508205,41.17,48864271,50.9,17328475,381.05,6997891,58.18,43140304
41,2020-02-28,273.36,106721230,162.01,97073557,1883.75,9493797,1339.25,4010900,192.47,32583494,208.0,31247888,39.93,80193996,49.46,24426003,369.03,11178572,55.52,60727999
42,2020-02-27,273.52,80151381,158.18,93174906,1884.3,8143993,1314.95,3114476,189.75,21682626,205.03,22622530,40.04,51442851,50.78,16159581,371.71,10967699,55.83,42226859
43,2020-02-26,292.65,49678431,170.17,56387148,1979.59,5240402,1390.47,2490178,197.2,16555210,208.74,19474179,42.16,38528925,52.05,16413096,379.24,8961126,59.65,26217740
44,2020-02-25,288.08,57668364,168.07,68073295,1972.74,6219094,1386.32,2578966,196.77,21433487,205.61,18069729,42.74,48024747,50.96,12202570,360.09,6481243,59.73,34495728
45,2020-02-24,298.18,55548828,170.89,68311066,2009.29,6546997,1419.86,2478039,200.72,23080057,206.16,19294376,44.0,35295921,52.65,10992450,368.7,6936418,61.76,26903117
46,2020-02-21,313.05,32426415,178.59,48600385,2095.97,4650740,1483.46,2126843,210.18,14098432,212.59,17678953,46.295,20031423,54.68,9078638,380.07,3935618,64.34,20780465
47,2020-02-20,320.3,25141489,184.42,36862376,2153.1,3131342,1516.99,1298386,214.58,13109213,218.04,14923158,46.85,20416659,55.51,6114630,386.0,4079425,65.45,26452594
48,2020-02-19,323.62,23495991,187.28,29997471,2170.22,2561165,1524.87,1137338,217.49,12135114,222.14,10760816,46.29,27626380,55.44,6819245,386.19,4896368,67.11,13551202
49,2020-02-18,319.0,38190545,187.23,27853113,2155.67,2951070,1519.44,1284011,217.8,15630026,220.52,12986483,46.59,18550358,55.45,7185650,387.78,5180400,66.14,12766566
50,2020-02-14,324.95,20028447,185.35,23149516,2134.87,2606169,1518.73,1159857,214.18,10741747,219.63,10674292,46.97,26747248,55.47,7496836,380.4,3736266,67.27,13405451
51,2020-02-13,324.87,23686892,183.71,35295834,2149.87,3031791,1513.39,1145658,213.14,15396625,220.36,28043923,47.32,47044716,55.31,8480140,381.4,4485383,67.44,11602733
52,2020-02-12,327.2,28432573,184.71,47062921,2160.0,3334264,1518.63,1552136,210.76,13813704,224.31,18527746,49.93,31686166,55.73,7541074,380.01,4624772,67.46,15586600
53,2020-02-11,319.61,23580780,184.44,53159906,2150.8,5746011,1510.06,1742647,207.19,25030810,217.21,16031360,49.13,23168267,55.15,8466065,373.69,4772870,67.41,17975623
54,2020-02-10,321.55,27337215,188.7,35844267,2133.91,5056235,1508.66,1915072,213.06,11856350,215.77,17386494,48.87,19012716,54.99,7198166,371.07,5294138,66.39,22299288
55,2020-02-07,320.03,29421012,183.89,33529074,2079.28,5095347,1479.11,1418049,212.33,12242530,216.53,13783578,47.97,16807738,54.72,7864360,366.77,4385227,66.02,18134646
56,2020-02-06,325.21,26356385,183.63,27751381,2050.23,3182954,1475.97,1891079,210.85,10567533,220.9,10757348,48.69,9814844,54.71,8827872,366.95,3920428,67.09,17408038
57,2020-02-05,321.45,29706718,179.9,39186324,2039.87,4376174,1446.05,1818793,210.11,12538154,220.22,14952158,48.45,17042331,54.74,9612932,369.67,6437026,67.34,23401417
58,2020-02-04,318.85,34154134,180.12,36433339,2049.67,5289338,1445.41,4793967,209.83,19628890,222.88,16669159,47.62,13947268,54.04,9769797,369.01,7161451,65.46,20970754
59,2020-02-03,308.66,43496401,174.38,30149052,2004.2,5899094,1482.6,3608760,204.19,15510509,213.1,14112271,46.53,15383527,53.09,8892487,358.0,6674885,64.42,16654563
60,2020-01-31,309.51,49897096,170.23,36142690,2008.72,15567283,1432.78,2191075,201.91,31359917,206.59,18158800,45.97,20069931,52.45,8884663,345.09,5230001,63.93,25268428
61,2020-01-30,323.87,31685808,172.78,51597470,1870.68,6327438,1454.25,1355472,209.53,48775500,208.58,14323562,47.24,14822581,53.31,7175123,347.74,5328136,66.47,18522360
62,2020-01-29,324.34,54149928,168.04,35127771,1858.0,2101390,1456.7,1081964,223.23,33610005,212.02,12866873,47.05,14289781,53.2,6273345,343.16,7649183,66.33,18076688
63,2020-01-28,317.69,40558486,165.46,24899940,1853.25,2808040,1450.5,1486586,217.79,13413835,210.23,16126398,47.77,14035052,53.46,8620310,348.52,6821581,67.31,30915394
64,2020-01-27,308.95,40485005,162.28,32078067,1828.34,3528509,1431.73,1706566,214.87,13810655,205.47,24553654,47.47,20665994,52.69,8229847,342.88,7709482,65.69,30764002
65,2020-01-24,318.31,36634380,165.04,24918117,1861.64,3766181,1466.17,1489280,217.94,11905824,213.75,18125090,48.85,14066913,54.07,6426029,353.16,17939681,68.47,84711037
66,2020-01-23,319.23,26117993,166.72,19680766,1884.58,2484613,1484.69,1332562,219.76,11195000,219.13,18501126,49.0,16767687,54.98,6583173,349.6,18200293,63.32,42778737
67,2020-01-22,317.7,25458115,165.7,24138777,1887.46,3216257,1484.17,1422946,221.32,12212814,222.37,10035260,49.06,15185991,54.72,6379284,326.0,21729959,62.73,29475122
68,2020-01-21,316.57,27235039,166.5,29223486,1892.0,3643771,1482.25,2387178,221.44,14162007,222.26,15815391,48.8,21271307,55.22,8773031,338.11,12705288,60.55,28313385
69,2020-01-17,318.73,34454117,167.1,34371659,1864.72,3997340,1479.52,2621175,222.14,15905944,227.43,12140080,49.02,27176174,55.13,11166574,339.67,6066547,59.6,21803446
70,2020-01-16,315.24,27207254,166.17,23865360,1877.94,2659493,1450.16,1304040,221.77,10015288,223.94,13699686,49.05,20094931,55.43,9865546,338.62,5015997,59.66,21365530
71,2020-01-15,311.34,30480882,163.18,21417871,1862.02,2896592,1439.2,1077519,221.15,10036475,225.06,10726320,48.01,16289443,54.76,9090725,339.07,5158035,58.94,18498803
72,2020-01-14,312.68,40653457,162.13,23500783,1869.44,3446381,1430.59,1305636,219.06,13315361,226.49,17264494,47.79,17951758,54.88,12627241,338.69,7201544,59.43,17092446
73,2020-01-13,316.96,30028742,163.28,18666414,1891.3,2753903,1440.03,1525568,221.91,14295658,230.48,17537079,47.97,18152040,54.58,10857817,338.92,6216564,59.59,16346337
74,2020-01-10,310.33,35217272,161.34,20733946,1883.16,2856959,1428.96,1313178,218.06,12127432,223.83,12294042,47.13,13504600,54.45,9734775,329.05,4720540,58.94,15201929
75,2020-01-09,309.63,42621542,162.09,21399951,1901.05,3174962,1419.79,1661438,218.3,12679579,221.78,13118612,47.32,18211200,54.38,10671019,335.66,4717430,59.3,18818492
76,2020-01-08,303.19,33090946,160.09,27762026,1891.97,3511966,1405.04,1766274,215.22,13492703,218.0,11956274,47.52,25181655,54.13,11856737,339.26,7109117,58.97,23138274
77,2020-01-07,298.39,27877655,157.58,21881740,1906.86,4134010,1395.11,1726456,213.06,15111857,217.63,9393670,47.49,16566640,54.16,12029590,330.75,4742458,58.93,21960524
78,2020-01-06,299.8,29644644,159.03,20826702,1902.88,4065698,1397.81,2339343,212.6,17073861,216.64,11885141,47.8,22185267,54.04,10975900,335.83,5668577,59.93,17759137
79,2020-01-03,297.43,36633878,158.62,21121681,1874.97,3766604,1361.52,1170629,208.67,11197416,217.0,8604424,47.63,15587707,53.76,11026715,325.9,3795466,60.1,15298577
80,2020-01-02,300.35,33911864,160.62,22634546,1898.01,4035910,1368.68,1364265,209.78,12090707,219.77,15871697,48.42,16710076,53.95,13899603,329.81,4348493,60.84,17713404
81,2019-12-31,293.65,25247625,157.7,18393383,1847.84,2510380,1339.39,976061,205.25,8962756,212.1,6773404,47.96,14894735,52.98,7094518,323.57,3714837,59.85,14435832
82,2019-12-30,291.52,36059614,157.59,16356720,1846.89,3677306,1339.71,1000592,204.41,10534441,212.91,8732225,47.59,12129049,52.7,5936134,323.31,4315267,59.62,12751111
83,2019-12-27,289.8,36592936,158.96,18414352,1869.8,6188754,1354.64,1160873,208.1,10287634,215.47,11673901,47.77,11058982,53.46,7261963,329.09,5037156,60.08,14086147
84,2019-12-26,289.91,23334004,158.67,14526927,1868.77,6024608,1362.47,1183800,207.79,9368273,216.38,6904720,47.85,11122017,53.57,6702009,332.63,3595854,59.82,11486640
85,2019-12-24,284.27,12119714,157.38,8989150,1789.21,881337,1344.43,673410,205.12,6046273,214.26,5522987,47.78,7044728,53.44,3331654,333.2,2019322,59.41,6313179
86,2019-12-23,284.0,24677883,157.41,17726283,1793.0,2137493,1350.63,996967,206.18,13353194,214.83,12534297,48.1,20255224,53.71,10591499,333.1,5767937,59.23,23593186
87,2019-12-20,279.44,69032743,157.41,53599613,1786.5,5152460,1351.22,2513849,206.3,27315226,212.25,26642653,47.45,52583716,53.6,27423569,336.9,9923260,58.95,49970823
88,2019-12-19,280.02,24626947,155.71,25813825,1792.28,2738320,1356.44,1521082,206.06,16808184,210.13,12167218,47.88,30768601,53.24,11910106,332.22,9833355,57.96,18869002
89,2019-12-18,279.74,29024687,154.37,24132379,1784.03,3354137,1351.91,1166733,202.5,23284746,210.0,13478789,46.64,21928065,53.39,14122979,320.8,11210737,57.17,28273062
90,2019-12-17,280.41,28575798,154.69,25443527,1790.66,3646697,1354.89,1648549,198.39,10177605,208.18,11286879,46.44,22510487,52.84,19778245,315.48,10437127,57.3,21656376
91,2019-12-16,279.86,32081105,155.53,24152770,1769.21,3149345,1360.7,1406457,197.92,14922733,206.97,16733921,45.98,21875699,53.99,19950161,304.21,4660166,57.7,19135285
92,2019-12-13,275.15,33432806,154.53,23850062,1760.94,2747909,1346.87,1658684,194.11,18806020,204.91,19269669,45.3,21801583,54.51,21426748,298.5,3883069,57.79,22795852
93,2019-12-12,271.46,34437042,153.24,24645366,1760.33,3103949,1348.49,1456466,196.75,23766986,204.5,22429430,45.67,27073511,56.47,15405644,298.44,4771404,57.55,27896156
94,2019-12-11,270.77,19723391,151.7,18860001,1748.72,2101318,1344.25,1024308,202.26,8041827,204.64,11639917,44.28,16451397,56.31,12092246,298.93,5607155,57.07,20051865
95,2019-12-10,268.48,22632383,151.13,16481060,1739.21,2515644,1342.89,880430,200.87,9485568,200.45,11623708,44.1,21863861,55.82,10719699,293.12,10481239,56.59,16157977
96,2019-12-09,266.92,32182645,151.36,16741350,1749.51,2502489,1342.99,1556889,201.34,12013218,198.74,14255914,43.9,17659772,55.31,11996705,302.5,5766006,56.53,14467822
97,2019-12-06,270.71,26547493,151.75,16410400,1751.6,3119979,1339.39,1648729,201.05,12279525,201.89,14087330,43.84,16544118,54.83,9088555,307.35,4459684,56.81,16477405
98,2019-12-05,265.58,18661343,149.93,17880601,1740.48,2827852,1326.96,1220631,199.36,9755350,200.0,22288585,43.52,22637277,54.68,10557403,302.86,4618867,56.08,17675582
99,2019-12-04,261.74,16810388,149.85,17580617,1760.69,2680700,1318.94,1776392,198.71,8459939,193.74,14845106,43.89,17206915,54.41,11436774,304.32,3513551,56.02,18882730
